#,role_id,recency,frequency,monetary
848,35600000003021,17,2,770
849,35600000003198,18,1,30
850,35600000003233,18,2,36
851,35600000003400,17,2,104
852,35600000003401,6,2,770
853,35600000003561,18,1,510
854,35600000003772,18,1,6
855,35600000004140,5,2,36
856,35600000004280,3,3,42
857,35600000004417,2,5,262
858,35600000004457,4,9,399
859,35600000004548,17,1,6
860,35600000004631,17,1,6
861,35600000004717,4,17,2980
862,35600000004738,17,1,30
863,35600000004768,14,7,888
864,35600000004922,17,1,510
865,35600000005057,17,1,30
866,35600000005115,17,1,6
867,35600000005856,16,1,6
868,35600000005934,14,3,134
869,35600000006003,16,1,510
870,35600000006132,16,1,510
871,35600000006488,5,1,6
872,35600000006754,2,15,120
873,35600000006823,15,1,510
874,35600000007307,1,8,96
875,35600000007390,15,1,6
876,35600000007473,15,1,5
877,35600000007696,14,1,6
878,35600000008393,14,1,510
879,35600000008538,11,6,1308
880,35600000008592,0,23,4042
881,35600000008758,3,5,102
882,35600000008861,11,1,25
883,35600000009022,8,2,12
884,35600000009106,13,1,6
885,35600000009546,11,1,510
886,35600000009584,10,1,510
887,35600000009615,10,1,510
888,35600000009643,1,1,510
889,35600000009705,9,1,510
890,35600000009714,9,1,510
891,35600000009733,7,1,6
892,35600000009742,8,1,510
893,35600000009745,8,1,510
894,35600000009793,7,1,510
895,35600000009833,6,1,510
896,35600000009857,6,1,510
897,35600000009864,6,1,510
898,35600000009891,6,1,510
899,35600000009897,6,1,510
900,35600000009907,6,1,510
901,35600000009918,6,1,510
902,35600000009924,5,1,510
903,35600000009927,6,1,510
904,35600000009935,5,1,510
905,35600000010019,4,1,510
906,35600000010028,3,1,510
907,35600000010079,1,1,510
908,35600000010139,0,1,510
909,35600000010141,0,1,510
910,35600000010149,0,1,510
911,35700000000013,7,9,1472
912,35700000000024,12,2,1198
913,35700000000033,7,2,11
914,35700000000076,2,12,1237
915,35700000000111,4,5,60
916,35700000000127,6,4,1313
917,35700000000152,12,1,6
918,35700000000184,8,9,1946
919,35700000000202,8,2,160
920,35700000000218,3,7,2582
921,35700000000332,12,1,6
922,35700000000361,12,1,6
923,35700000000407,12,2,846
924,35700000000416,0,39,17166
925,35700000000473,0,7,951
926,35700000000532,12,2,36
927,35700000000564,12,1,6
928,35700000000599,12,1,98
929,35700000000696,12,2,776
930,35700000000825,1,33,9004
931,35700000000831,12,1,648
932,35700000000907,11,1,510
933,35700000000918,11,18,4030
934,35700000000961,11,1,6
935,35700000000987,7,1,510
936,35700000001032,7,1,510
937,35700000001043,7,1,6
938,35700000001056,12,1,6
939,35700000001140,3,9,934
940,35700000001215,12,2,123
941,35700000001258,7,1,510
942,35700000001470,12,1,6
943,35700000001786,11,1,510
944,35700000001804,12,1,510
945,35700000001811,12,1,510
946,35700000001944,12,1,6
947,35700000001994,12,1,6
948,35700000002209,11,1,6
949,35700000002513,7,17,2784
950,35700000002578,1,24,2644
951,35700000002863,11,1,98
952,35700000003257,10,4,91
953,35700000003355,3,4,948
954,35700000003582,1,20,1032
955,35700000003631,6,4,24
956,35700000003670,9,1,6
957,35700000003780,9,1,5
958,35700000003803,12,1,510
959,35700000004167,11,1,510
960,35700000004466,11,1,6
961,35700000004534,10,2,165
962,35700000004600,6,3,42
963,35700000004608,10,2,770
964,35700000004613,11,1,510
965,35700000005082,11,1,510
966,35700000005126,10,1,510
967,35700000005127,10,1,510
968,35700000005128,10,1,510
969,35700000005606,11,1,510
970,35700000005614,0,4,930
971,35700000005781,0,29,3328
972,35700000005818,10,1,6
973,35700000005882,9,1,6
974,35700000005964,2,8,2644
975,35700000006078,10,1,510
976,35700000006079,10,1,510
977,35700000006080,10,1,510
978,35700000006174,3,7,832
979,35700000006175,10,1,6
980,35700000006210,3,6,592
981,35700000006363,10,1,510
982,35700000006411,0,22,584
983,35700000006424,10,1,6
984,35700000006813,6,2,110
985,35700000006924,10,1,510
986,35700000007099,10,1,510
